City,State,Technology,Vendor
Chillicothe,IL,Automated License Plate Readers,Flock Safety
Norridge Police Department,IL,Automated License Plate Readers,Flock Safety
Harwood Heights,IL,Automated License Plate Readers,Flock Safety
Heath,OH,Automated License Plate Readers,Flock Safety
Hebron,OH,Automated License Plate Readers,Flock Safety
Newark,OH,Automated License Plate Readers,Flock Safety
McHenry,IL,Automated License Plate Readers,Flock Safety
Franklin,IN,Automated License Plate Readers,Flock Safety
Aransas Pass,TX,Automated License Plate Readers,Flock Safety
League City,TX,Automated License Plate Readers,Flock Safety
Rockport,TX,Automated License Plate Readers,Flock Safety
White Settlement,TX,Automated License Plate Readers,Flock Safety
Eureka,CA,Automated License Plate Readers,Flock Safety
Huntley,IL,Body-worn Cameras,Axon
Huntley,IL,Automated License Plate Readers,Flock Safety
Lakeland,FL,Automated License Plate Readers,Axon
Mooresville,NC,Video Analytics,BriefCam
Mooresville,NC,Face Recognition,Clearview AI
Norfolk,VA,Automated License Plate Readers,Flock Safety
Romeoville,IL,Automated License Plate Readers,Flock Safety
Romeoville,IL,Body-worn Cameras,Axon
Yaphank,NY,Gunshot Detection,ShotSpotter
Glocester,RI,Automated License Plate Readers,Flock Safety
Smithfield,RI,Automated License Plate Readers,Flock Safety
Three Rivers,MI,Automated License Plate Readers,Flock Safety
Tooele,UT,Automated License Plate Readers,Flock Safety
Truckee,CA,Automated License Plate Readers,Flock Safety
Versailles,KY,Automated License Plate Readers,Flock Safety
Boonville,IN,Automated License Plate Readers,Flock Safety
Warwick,RI,Automated License Plate Readers,Flock Safety
Watsonville,CA,Automated License Plate Readers,Flock Safety
Williamsburg,VA,Automated License Plate Readers,Flock Safety
Willowick,OH,Automated License Plate Readers,Flock Safety
East Bay,MI,Automated License Plate Readers,Flock Safety
Garfield,MI,Automated License Plate Readers,Flock Safety
Peninsula,MI,Automated License Plate Readers,Flock Safety
Greenfield,IN,Automated License Plate Readers,Flock Safety
Ellicott City,MD,Predictive Policing,LexisNexis
Franklin,IN,Automated License Plate Readers,Flock Safety
Zionsville,IN,Automated License Plate Readers,Flock Safety
West Lafayette,IN,Automated License Plate Readers,Flock Safety
Fairfield Township,OH,Automated License Plate Readers,Flock Safety
Fairfield,OH,Automated License Plate Readers,Flock Safety
South Bend,IN,Real-Time Crime Center,Fusus
Boone,NC,Automated License Plate Readers,Flock Safety
Bedford,NY,Automated License Plate Readers,Viligant Solutions
Brentwood,PA,Body-worn Cameras,WatchGuard
Carroll Valley,PA,Body-worn Cameras,Digital Ally
Elkins Park,PA,Body-worn Cameras,WatchGuard
Chester,PA,Body-worn Cameras,Axon
Cape Girardeau,MO,Drones,"exH2O, DJI"
Corning,NY,Body-worn Cameras,Axon
Gilbertsville,PA,Body-worn Cameras,Pro-Vision
Fall River,MA,Drones,DJI
Charleston,IL,Automated License Plate Readers,Flock Safety
Mattoon,IL,Automated License Plate Readers,Flock Safety
Villas,FL,Automated License Plate Readers,Flock Safety
Burgaw,NC,Body-worn Cameras,Axon
Burgaw,NC,Drones,Axon
Bensalem,PA,Body-worn Cameras,Axon
Bonner Springs,KS,Automated License Plate Readers,ELSAG
Cape Girardeau,MO,Drones,DJI
Ardmore,OK,Drones,Skydweller Aero Inc.
Croton-on-Hudson,NY,Automated License Plate Readers,Rekor
Davis,CA,Body-worn Cameras,WatchGuard
Devon,PA,Body-worn Cameras,Axon
Edinburgh,IN,Drones,UAW
Akron,OH,Camera Registry,Fusus
Biloxi,MS,Camera Registry,Fusus
Brownsville,TX,Camera Registry,Fusus
Asheville,NC,Real-Time Crime Center,Fusus
Canton,GA,Camera Registry,Fusus
Fort Gaines,GA,Real-Time Crime Center,Fusus
Fort Gaines,GA,Camera Registry,Fusus
Marietta,GA,Real-Time Crime Center,Fusus
Marietta,GA,Camera Registry,Fusus
Dallas,TX,Real-Time Crime Center,Fusus
Dallas,TX,Camera Registry,Fusus
Dayton,OH,Camera Registry,Fusus
Dayton,OH,Real-Time Crime Center,Fusus
Tucker,GA,Camera Registry,Fusus
Media,PA,Real-Time Crime Center,Fusus
Media,PA,Camera Registry,Fusus
Elizabeth,NC,Real-Time Crime Center,Fusus
Fayetteville,NC,Camera Registry,Fusus
Bunnell,FL,Camera Registry,Fusus
Cumming,NC,Camera Registry,Fusus
Cumming,NC,Real-Time Crime Center,Fusus
Richmond,TX,Camera Registry,Fusus
Richmond,TX,Real-Time Crime Center,Fusus
Atlanta,GA,Real-Time Crime Center,Fusus
Atlanta,GA,Camera Registry,Fusus
Hammond,IN,Camera Registry,Fusus
Hartford,CT,Camera Registry,Fusus
Honolulu,HI,Camera Registry,Fusus
Birmingham,AL,Camera Registry,Fusus
Kernersville,NC,Camera Registry,Fusus
Lafayette,LA,Camera Registry,Fusus
Taveres,FL,Camera Registry,Fusus
Ocoee,FL,Camera Registry,Fusus
Ocoee,FL,Real-Time Crime Center,Fusus
Orlando,FL,Camera Registry,Fusus
Orlando,FL,Real-Time Crime Center,Fusus
Kissimmee,FL,Real-Time Crime Center,Fusus
Peachtree Corners,GA,Camera Registry,Fusus
Green Bay,WI,Automated License Plate Readers,Flock Safety
York,PA,Body-worn Cameras,WatchGuard
Kechi,KS,Automated License Plate Readers,Flock Safety
Lafayette,LA,Automated License Plate Readers,Flock Safety
Lancaster,PA,Body-worn Cameras,Axon
Lawrence Township,NJ,Drones,DJI
Spring House,PA,Body-worn Cameras,WatchGuard
Yardley,PA,Body-worn Cameras,Axon
Harrisburg,PA,Body-worn Cameras,WatchGuard
Mahomet,IL,Automated License Plate Readers,Flock
Lancaster,PA,Body-worn Cameras,Axon
Framingham,MA,Body-worn Cameras,Motorola
Skokie,IL,Automated License Plate Readers,Flock Safety
Spring Hill,TN,Automated License Plate Readers,Flock Safety
Thousand Oaks,CA,Automated License Plate Readers,Vigilant Solutions
Altoona,WI,Automated License Plate Readers,Flock Safety
Amherst,OH,Automated License Plate Readers,Flock Safety
Braidwood,IL,Automated License Plate Readers,Flock Safety
Brentwood,MO,Automated License Plate Readers,Flock Safety
Canfield,OH,Automated License Plate Readers,Flock Safety
Cedar Park,TX,Automated License Plate Readers,Flock Safety
Centralia,WA,Automated License Plate Readers,Flock Safety
Champaign,IL,Gunshot Detection,Flock Safety
Channahon,IL,Automated License Plate Readers,Flock Safety
Clarksville,IN,Automated License Plate Readers,Flock Safety
Kingsport,TN,Automated License Plate Readers,Flock Safety
Louisville,CO,Automated License Plate Readers,Flock Safety
Nicholasville,KY,Automated License Plate Readers,Flock Safety
Oak Forest,IL,Automated License Plate Readers,Flock Safety
Oak Forest,IL,Gunshot Detection,Flock Safety
Pontotoc,MS,Automated License Plate Readers,Flock Safety
Sydney,OH,Automated License Plate Readers,Flock Safety
Tipp City,OH,Automated License Plate Readers,Flock Safety
Lafayette,IN,Automated License Plate Readers,Flock Safety
Elmira,NY,Automated License Plate Readers,Flock Safety
Macedonia,OH,Automated License Plate Readers,Flock Safety
Mentor,OH,Automated License Plate Readers,Flock Safety
Solon,OH,Automated License Plate Readers,Flock Safety
Moore,OK,Automated License Plate Readers,Flock Safety
Nashville,TN,Camera Registry,Fusus
Salisbury,NC,Automated License Plate Readers,Flock Safety
Quincy,IL,Automated License Plate Readers,Flock Safety
Seekonk,MA,Automated License Plate Readers,Flock Safety
North Royalton,OH,Automated License Plate Readers,Flock Safety
Ferndale,MI,Automated License Plate Readers,Flock Safety
Laurens,SC,Automated License Plate Readers,Flock Safety
Loveland,OH,Automated License Plate Readers,Flock Safety
Sunnyside,WA,Automated License Plate Readers,Flock Safety
Niles,OH,Automated License Plate Readers,Flock Safety
La Grange,KY,Automated License Plate Readers,Flock Safety
La Grange,KY,Automated License Plate Readers,Flock Safety
Williamsport,PA,Body-worn Cameras,WatchGuard
Herkimer,NY,Automated License Plate Readers,Flock Safety
Casa Grande,AZ,Automated License Plate Readers,Flock Safety
New York City,NY,Automated License Plate Readers,Argus
Rotterdam,NY,Automated License Plate Readers,Rekor
Lyons,NY,Body-worn Cameras,Axon
Scarsdale,NY,Automated License Plate Readers,Genetec
Tuxedo Park,NY,Automated License Plate Readers,SafePassage
Belle Vernon,PA,Drones,DJI
New Castle,PA,Body-worn Cameras,Axon
Frederick,PA,Body-worn Cameras,WatchGuard
Reading,PA,Body-worn Cameras,WatchGuard
Elizabethtown,PA,Body-worn Cameras,WatchGuard
Wayne,PA,Body-worn Cameras,WatchGuard
Quakertown,PA,Body-worn Cameras,Axon
Pittsburgh,PA,Body-worn Cameras,Axon
Allentown,PA,Body-worn Cameras,WatchGuard
Phoenixville,PA,Body-worn Cameras,WatchGuard
Phoenixville,PA,Body-worn Cameras,WatchGuard
Reading,PA,Body-worn Cameras,WatchGuard
Reading,PA,Body-worn Cameras,WatchGuard
Reading,PA,Automated License Plate Readers,PlateLogiq
Landenberg,PA,Body-worn Cameras,WatchGuard
Lansdale,PA,Body-worn Cameras,WatchGuard
Aston,PA,Body-worn Cameras,Axon
Marcus Hook,PA,Body-worn Cameras,Axon
Allentown,PA,Body-worn Cameras,WatchGuard
Upper Darby,PA,Body-worn Cameras,Axis
Fairless Hills,PA,Body-worn Cameras,WatchGuard
King of Prussia,PA,Body-worn Cameras,Axon
Upper Saucon,PA,Body-worn Cameras,WatchGuard
West Chester,PA,Body-worn Cameras,WatchGuard
York,PA,Body-worn Cameras,WatchGuard
Whitehall Township,PA,Body-worn Cameras,Axon
Lafayette Hill,PA,Body-worn Cameras,WatchGuard
Norristown,PA,Body-worn Cameras,Axon
Montgomeryville,PA,Body-worn Cameras,WatchGuard
Newport News,VA,Automated License Plate Readers,Flock Safety
Niles,IL,Automated License Plate Readers,Flock Safety
Pawhuska,OK,Automated License Plate Readers,Flock Safety
Palm Springs,CA,Drones,DJI
San Mateo,CA,Drones,Axon
Clinton,PA,Body-worn Cameras,WatchGuard
Bloomsburg,PA,Body-worn Cameras,WatchGuard
Hyde,PA,Body-worn Cameras,WatchGuard
Williamsport,PA,Body-worn Cameras,WatchGuard
Green Lane,PA,Body-worn Cameras,WatchGuard
Stanford,KY,Body-worn Cameras,WatchGuard
Jackson,WY,Automated License Plate Readers,Flock Safety
Jackson,MI,Automated License Plate Readers,Flock Safety
Manchester,NH,Camera Registry,Fusus
Dickinson,ND,Body-worn Cameras,Axon
Portland,OR,Drones,DJI
Blue Ash,OH,Body-worn Cameras,Axon
Quincy,CA,Body-worn Cameras,LensLock
Port Clinton,OH,Automated License Plate Readers,Flock Safety
Portsmouth,VA,Camera Registry,Fusus
Poughkeepsie,NY,Gunshot Detection,Flock Safety
Redding,CA,Body-worn Cameras,Axon
Rock Island,IL,Automated License Plate Readers,Flock Safety
Royal Palm Beach,FL,Automated License Plate Readers,Motorola
San Luis Obispo,CA,Face Recognition,Clearview
Woodside,CA,Automated License Plate Readers,Flock Safety
Sequim,WA,Body-worn Cameras,LensLock
Shorewood,IL,Automated License Plate Readers,Flock Safety
Sikeston,MO,Automated License Plate Readers,Flock Safety
St. Matthews,KY,Automated License Plate Readers,Flock Safety
Yuba City,CA,Body-worn Cameras,LensLock
Taylorville,IL,Automated License Plate Readers,Flock Safety
Union CIty,OK,Body-worn Cameras,LensLock
Aurora,CO,Automated License Plate Readers,Flock Safety
Upper Merion Township,PA,Face Recognition,Clearview AI
Vancouver,WA,Body-worn Cameras,Axon
Victoria,TX,Body-worn Cameras,Axon
West Fargo,ND,Face Recognition,Clearview AI
Winston-Salem,NC,Automated License Plate Readers,Flock Safety
Winston-Salem,NC,Body-worn Cameras,Axon
Snow Hill,MD,Body-worn Cameras,Axon
Ridgefield,WA,Body-worn Cameras,Axon
El Mirage,AZ,Gunshot Detection,Flock Safety
El Mirage,AZ,Automated License Plate Readers,Flock Safety
Streator,IL,Automated License Plate Readers,Flock Safety
Chehalis,WA,Automated License Plate Readers,Flock Safety
Nashville,NC,Automated License Plate Readers,Flock Safety
New Albany,IN,Body-worn Cameras,Axon
New Baltimore,MI,Automated License Plate Readers,Flock Safety
New Canaan,CT,Automated License Plate Readers,Flock Safety
Albany,NY,Predictive Policing,ShadowDragon
Normal,IL,Automated License Plate Readers,Flock Safety
North Riverside,IL,Automated License Plate Readers,Flock Safety
Northfield Village,OH,Automated License Plate Readers,Flock Safety
Olympia,WA,Body-worn Cameras,Axon
Elizabeth City,NC,Body-worn Cameras,Axon
Pittsfield,MA,Automated License Plate Readers,Axon
Mokena,IL,Body-worn Cameras,Axon
Nixa,MO,Automated License Plate Readers,Flock Safety
Lytle,TX,Body-worn Cameras,LensLock
Edwardsville,IL,Body-worn Cameras,Axon
Macomb,IL,Body-worn Cameras,WatchGuard
Troy,OH,Automated License Plate Readers,Flock Safety
Forsyth,GA,Automated License Plate Readers,Flock Safety
Conroe,TX,Face Recognition,Clearview AI
Montville,NJ,Automated License Plate Readers,Packetalk
Mooresville,IN,Body-worn Cameras,WatchGuard
Madison,GA,Automated License Plate Readers,Flock Safety
Muncie,IN,Automated License Plate Readers,Flock Safety
Murfreesboro,TN,Body-worn Cameras,Axon
Baton Rouge,LA,Face Recognition,Idemia
Baton Rouge,LA,Face Recognition,Clearview AI
Gainesboro,TN,Body-worn Cameras,LensLock
Glendale,AZ,Face Recognition,Idemia
Safford,AZ,Automated License Plate Readers,Flock Safety
Groveport,OH,Automated License Plate Readers,Flock Safety
Guthrie,OK,Automated License Plate Readers,Flock Safety
Haines,FL,Body-worn Cameras,LensLock
Warner Robins,GA,Automated License Plate Readers,Flock Safety
Olathe,KS,Automated License Plate Readers,"Electronic Technology, Inc."
Antioch,CA,Gunshot Detection,ShotSpotter
East Moline,IL,Automated License Plate Readers,Flock Safety
El Segundo,CA,Drones,"Brinc, DJI"
Elizabethtown,KY,Automated License Plate Readers,Flock Safety
Farmington Hills,MI,Automated License Plate Readers,Flock Safety
Richmond,TX,Automated License Plate Readers,Flock Safety
Safford,AZ,Automated License Plate Readers,Flock Safety
Grandview,WA,Automated License Plate Readers,Flock Safety
Groveport,OH,Automated License Plate Readers,Flock Safety
Guthrie,OK,Automated License Plate Readers,Flock Safety
Perry,GA,Automated License Plate Readers,Flock Safety
Perry,GA,Camera Registry,Fusus
Canton,GA,Automated License Plate Readers,Flock Safety
Hinesville,GA,Automated License Plate Readers,Flock Safety
Thomson,GA,Automated License Plate Readers,Flock Safety
Lafayette,GA,Automated License Plate Readers,Flock Safety
Forsyth,GA,Automated License Plate Readers,Flock Safety
Rome,GA,Body-worn Cameras,Axon
Gainesboro,TN,Body-worn Cameras,LensLock
Traverse City,MI,Automated License Plate Readers,Flock Safety
Warner Robins,GA,Automated License Plate Readers,Flock Safety
Olathe,KS,Automated License Plate Readers,Electronic Technology Inc.
Lockport,NY,Automated License Plate Readers,Flock Safety
Bend,OR,Body-worn Cameras,Axon
Covina,CA,Face Recognition,LACRIS
Deer Park,TX,Face Recognition,Clearview AI
Fairfax,VA,Automated License Plate Readers,Flock Safety
Fairfax,VA,Face Recognition,Idemia
Firestone,CO,Predictive Policing,LexisNexis
Inglewood,CA,Face Recognition,Clearview AI
Macon,GA,Automated License Plate Readers,Flock Safety
Liberty,MO,Drones,Brinc
Latham,NY,Body-worn Cameras,Axon
Whiteville,NC,Automated License Plate Readers,Flock Safety
East Providence,RI,Automated License Plate Readers,Flock Safety
Hemet,CA,Drones,Motorola Solutions
Sacramento,CA,Face Recognition,Vigilant Solutions
Hallandale Beach,FL,Gunshot Detection,ShotSpotter
Russellville,KY,Body-worn Cameras,Axon
Hopkinsville,KY,Automated License Plate Readers,Flock Safety
Elizabeth,NJ,Drones,Paladin
Oak Brook,IL,Real-Time Crime Center,Fusus
Manchester,NH,Body-worn Cameras,Axon
Farmington,WI,Body-worn Cameras,Axon
Highland Village,TX,Automated License Plate Readers,Axon
McKinney,TX,Body-worn Cameras,Axon
Richland,WA,Automated License Plate Readers,Flock Safety
Portsmouth,VA,Automated License Plate Readers,"Axon, Flock"
Girald,OH,Automated License Plate Readers,Blue Line Solutions
Coldwater,MI,Automated License Plate Readers,Flock Safety
Kearney,NE,Automated License Plate Readers,Flock Safety
Jonesboro,AR,Automated License Plate Readers,Flock Safety
Shingle Springs,CA,Body-worn Cameras,Axon
Mashpee,MA,Body-worn Cameras,Motorola Solutions
Grand Ronde,OR,Body-worn Cameras,Reveal
La Push,WA,Body-worn Cameras,WatchGuard
Bayfield,WI,Body-worn Cameras,WatchGuard
Fort Hall,ID,Body-worn Cameras,Watchguard
New Town,ND,Body-worn Cameras,Axon
Window Rock,AZ,Body-worn Cameras,Safety Vision
Shiprock,NM,Body-worn Cameras,Safety Vision
Las Vegas,NV,Body-worn Cameras,Axon
Eagle Butte,SD,Body-worn Cameras,Pro-Vision
Browning,MT,Body-worn Cameras,Pro-Vision
Taholah,WA,Body-worn Cameras,Watchguard Vista
Whiteriver,AZ,Body-worn Cameras,Axon
Durant,OK,Body-worn Cameras,Motorola Solutions
Lawton,OK,Body-worn Cameras,CammPro I826
Pendleton,OR,Body-worn Cameras,Axon
Nixon,NV,Body-worn Cameras,Axon
Oakville,WA,Body-worn Cameras,Watchguard
Mayetta,KS,Body-worn Cameras,Watchguard
Mashantucket,CT,Body-worn Cameras,Axon
Sacaton,AZ,Body-worn Cameras,Axon
Jemez Pueblo,NM,Body-worn Cameras,Axon
Niobrara,NE,Body-worn Cameras,Axon
Parker,AZ,Body-worn Cameras,Pro-Vision
Peshawbestown,MI,Body-worn Cameras,Pro-Vision
Shawnee,OK,Body-worn Cameras,Axon
Olympia,WA,Body-worn Cameras,Axon
Rosebud,SD,Body-worn Cameras,Pro-Vision
Liberty Township,OH,Automated License Plate Readers,Flock Safety
Farmington,MO,Automated License Plate Readers,Flock Safety
Centerview,MO,Automated License Plate Readers,Electronic Technology Inc.
Wharton,TX,Automated License Plate Readers,Flock Safety
New Albany,IN,Drones,DJI
DeSoto,TX,Gunshot Detection,Shotspotter
Portsmouth,VA,Gunshot Detection,Shotspotter
Brimley,MI,Body-worn Cameras,Digital Ally
Box Elder,MT,Body-worn Cameras,Watchguard
Florence,OR,Body-worn Cameras,Pro-vision
Usk,WA,Body-worn Cameras,Motorola
Mescalero,NM,Body-worn Cameras,Wolfcam
Tama,IA,Body-worn Cameras,Axon
Onamia,MN,Body-worn Cameras,Watchguard
Warm Springs,OR,Body-worn Cameras,Watchguard
Oneida,WI,Body-worn Cameras,Axon
Schurz,NV,Body-worn Cameras,Axon
Darrington,WA,Body-worn Cameras,Watchguard
Arlington,WA,Body-worn Cameras,Wolfcom
Isleta,NM,Body-worn Cameras,Watchguard
Akwesasne,NY,Body-worn Cameras,Watchguard
Seminole,OK,Body-worn Cameras,Axon
Agency Village,SD,Body-worn Cameras,Watchguard
Payson,AZ,Body-worn Cameras,Miufly
Kingston,WA,Body-worn Cameras,Axon
Porterville,CA,Body-worn Cameras,Axon
Skokomish Nation,WA,Body-worn Cameras,Axon
Lovelock,NV,Body-worn Cameras,PatrolEyes
Tulalip,WA,Body-worn Cameras,Watchguard
Fulton,MI,Body-worn Cameras,Axon
Wilson,MI,Body-worn Cameras,Axon
Sault Sainte Marie,MI,Body-worn Cameras,Axon
Mayetta,KS,Automated License Plate Readers,ELSAG
Albany,GA,Gunshot Detection,Flock Safety
Towson,MD,Gunshot Detection,SoundThinking
Desoto,TX,Gunshot Detection,SoundThinking
Douglas,GA,Gunshot Detection,SoundThinking
Garner,NC,Gunshot Detection,Flock Safety
Hazelton,PA,Gunshot Detection,Flock Safety
Hollister,CA,Gunshot Detection,Flock Safety
Jackson,MI,Gunshot Detection,Flock Safety
Sparks,NV,Gunshot Detection,SoundThinking
Vallejo,CA,Gunshot Detection,Flock Safety
Virginia Beach,VA,Gunshot Detection,SoundThinking
Whitehall,OH,Gunshot Detection,Flock Safety
Broken Arrow,OK,Automated License Plate Readers,Flock Safety
Towson,MD,Gunshot Detection,SoundThinking
Desoto,TX,Gunshot Detection,SoundThinking
Auburn Hills,MI,Automated License Plate Readers,Flock Safety
Beaver Dam,WI,Automated License Plate Readers,Flock Safety
Brookfield,WI,Automated License Plate Readers,Flock Safety
Brown Deer,WI,Automated License Plate Readers,Flock Safety
Elkhorn,WI,Automated License Plate Readers,Flock Safety
Franklin,WI,Automated License Plate Readers,Flock Safety
Germantown,WI,Automated License Plate Readers,Flock Safety
Glendale,WI,Automated License Plate Readers,Flock Safety
Grafton,WI,Automated License Plate Readers,Flock Safety
Greenfield,WI,Automated License Plate Readers,Flock Safety
Hartford,WI,Automated License Plate Readers,Flock Safety
Kenosha,WI,Automated License Plate Readers,Flock Safety
Menomonee Falls,WI,Automated License Plate Readers,Flock Safety
Milwaukee,WI,Automated License Plate Readers,Flock Safety
Mount Pleasant,WI,Automated License Plate Readers,Flock Safety
New Berlin,WI,Automated License Plate Readers,Flock Safety
Oak Creek,WI,Automated License Plate Readers,Flock Safety
Pleasant Prairie,WI,Automated License Plate Readers,Flock Safety
Port Washington,WI,Automated License Plate Readers,Flock Safety
Racine,WI,Automated License Plate Readers,Flock Safety
South Milwaukee,WI,Automated License Plate Readers,Flock Safety
West Allis,WI,Automated License Plate Readers,Flock Safety
West Bend,WI,Automated License Plate Readers,Flock Safety
Whitefish Bay,WI,Automated License Plate Readers,Flock Safety
Birmingham,MI,Automated License Plate Readers,Flock Safety
Bloomfield Township,MI,Automated License Plate Readers,Flock Safety
Dearborn Heights,MI,Automated License Plate Readers,Flock Safety
Fraser,MI,Automated License Plate Readers,Flock Safety
Hazel Park,MI,Automated License Plate Readers,Flock Safety
Highland Park,MI,Automated License Plate Readers,Flock Safety
Mount Clemens,MI,Automated License Plate Readers,Flock Safety
Madison Heights,MI,Automated License Plate Readers,Flock Safety
Dimondale,MI,Automated License Plate Readers,Flock Safety
Novi,MI,Automated License Plate Readers,Flock Safety
Pontiac,MI,Automated License Plate Readers,Flock Safety
Redford Township,MI,Automated License Plate Readers,Flock Safety
Roseville,MI,Automated License Plate Readers,Flock Safety
Shellby Township,MI,Automated License Plate Readers,Flock Safety
Southfield,MI,Automated License Plate Readers,Flock Safety
Sterling Heights,MI,Automated License Plate Readers,Flock Safety
Warren,MI,Automated License Plate Readers,Flock Safety
Waterford Township,MI,Automated License Plate Readers,Flock Safety
West Bloomfield,MI,Automated License Plate Readers,Flock Safety
White Lake Township,MI,Automated License Plate Readers,Flock Safety
Wolverine,MI,Automated License Plate Readers,Flock Safety
Beebe,AR,Automated License Plate Readers,Flock Safety
Albany,GA,Gunshot Detection,Flock Safety
Nevada City,CA,Automated License Plate Readers,Flock Safety
Park City,KS,Automated License Plate Readers,Flock Safety
Parma Heights,OH,Automated License Plate Readers,Flock Safety
Crawfordsville,IN,Automated License Plate Readers,Flock Safety
Dyersburg,TN,Gunshot Detection,Flock Safety
Eashhampton,MA,Automated License Plate Readers,Flock Safety
East Syracuse,NY,Automated License Plate Readers,Flock Safety
El Dorado,KS,Automated License Plate Readers,Flock Safety
Crawfordsville,IN,Automated License Plate Readers,Flock Safety
Lockport,NY,Automated License Plate Readers,Flock Safety
Wake Forest,NC,Automated License Plate Readers,Flock Safety
West Bend,WI,Automated License Plate Readers,Flock Safety
Napavine,WA,Automated License Plate Readers,Flock Safety
Amherst,NY,Body-worn Cameras,Axon
Napavine,WA,Automated License Plate Readers,Flock Safety
Black Diamond,WA,Automated License Plate Readers,Flock Safety
Muskegon,MI,Automated License Plate Readers,Flock Safety
Seven Hills,OH,Automated License Plate Readers,Flock Safety
Sonoma,CA,Automated License Plate Readers,Flock Safety
Spokane,WA,Automated License Plate Readers,Flock Safety
Cheektowaga,NY,Automated License Plate Readers,Flock Safety
Frasier,MI,Automated License Plate Readers,Flock Safety
Glasgow,KY,Automated License Plate Readers,Flock Safety
Hazelton,PA,Automated License Plate Readers,Flock Safety
Tulsa,OK,Automated License Plate Readers,Flock Safety
Wakarusa,IN,Automated License Plate Readers,Flock Safety
Radcliff,KY,Automated License Plate Readers,Flock Safety
Searcy,AR,Automated License Plate Readers,Flock Safety
Southington,CT,Automated License Plate Readers,Flock Safety
Catoosa,OK,Automated License Plate Readers,Flock Safety
Jackson Hole,WY,Automated License Plate Readers,Flock Safety
La Grange,KY,Automated License Plate Readers,Flock Safety
Pittsburg,KS,Automated License Plate Readers,Flock Safety
Mead,CO,Face Recognition,LexisNexis
Lakewood,CO,Face Recognition,LexisNexis
Boulder,CO,Face Recognition,LexisNexis
Kentwood,MI,Automated License Plate Readers,Flock Safety
Nags Head,NC,Automated License Plate Readers,Flock Safety
Spokane,WA,Video Analytics,BriefCam
O'Fallon,MO,Automated License Plate Readers,Flock Safety
Reynoldsburg,OH,Automated License Plate Readers,Flock Safety
Oylmpia,WA,Drones,DJI
Chesterfield Township,MI,Automated License Plate Readers,Flock Safety
Perkins,OH,Automated License Plate Readers,Flock Safety
Poland,OH,Automated License Plate Readers,Flock Safety
St. Petersburg,FL,Automated License Plate Readers,Flock Safety
Meridian,ID,Automated License Plate Readers,Flock Safety
Evansville,IN,Automated License Plate Readers,Flock Safety
Milwaukee,WI,Camera Registry,Fusus
Granbury,TX,Automated License Plate Readers,Flock Safety
Bellefontaine,OH,Automated License Plate Readers,Flock Safety
Kirkland,WA,Body-worn Cameras,Axon
Waterloo,IL,Automated License Plate Readers,UTILITRA
Olive Branch,MS,Automated License Plate Readers,Utility
Castle Rock,CO,Automated License Plate Readers,Flock Safety
Paris,TX,Body-worn Cameras,Axon
Sugar Land,TX,Body-worn Cameras,Axon
Round Rock,TX,Body-worn Cameras,Axon
Aransas Pass,TX,Body-worn Cameras,Axon
Stuart,FL,Camera Registry,Fusus
Norfolk,VA,Camera Registry,Fusus
Columbus,OH,Real-Time Crime Center,Fusus
Orland,IL,Camera Registry,Fusus
Redondo Beach,CA,Camera Registry,Fusus
Rocky Mount,NC,Camera Registry,Fusus
Savannah,GA,Camera Registry,Fusus
Smyrna,GA,Camera Registry,Fusus
Spartanburg,SC,Real-Time Crime Center,Fusus
St. Cloud,FL,Camera Registry,Fusus
St. Johns County,FL,Camera Registry,Fusus
Starkville,MS,Camera Registry,Fusus
Toledo,OH,Camera Registry,Fusus
Trotwood,OH,Camera Registry,Fusus
Tupelo,MS,Real-Time Crime Center,Fusus
Volusia County,FL,Camera Registry,Fusus
Grass Valley,CA,Automated License Plate Readers,Flock Safety
Tukwila,WA,Automated License Plate Readers,Flock Safety
Flemington Borough,NJ,Automated License Plate Readers,Vigilant Solutions
Kenilworth,NJ,Automated License Plate Readers,Flock Safety
Valdez,AK,Body-worn Cameras,Panasonic
Wrangell,AK,Body-worn Cameras,Axon
North Pole,AK,Body-worn Cameras,WatchGuard
Edison,NJ,Automated License Plate Readers,Flock Safety
Edinburg,TX,Body-worn Cameras,Motorola
Killeen,TX,Body-worn Cameras,Coban Technologies
Mansfield,TX,Body-worn Cameras,WatchGuard
Lubbock,TX,Body-worn Cameras,Panasonic
Houston,TX,Body-worn Cameras,Axon
Midlothian,TX,Body-worn Cameras,WatchGuard
Waco,TX,Body-worn Cameras,Axon
Anchorage,AK,Body-worn Cameras,Motorola
Frankfort,KY,Body-worn Cameras,Motorola
Denver,CO,Body-worn Cameras,Axon
Annapolis,MD,Body-worn Cameras,Axon
Seguin,TX,Body-worn Cameras,Patrol Eyes
Grand Prairie,TX,Body-worn Cameras,Axon
Seguin,TX,Body-worn Cameras,WatchGuard
Portage,WI,Automated License Plate Readers,Flock Safety
Fulshear,TX,Body-worn Cameras,Axon
Olive Branch,MS,Body-worn Cameras,Utility
Olive Branch,MS,Automated License Plate Readers,Utility
Marfa,TX,Body-worn Cameras,Wolfcom
Acworth,GA,Camera Registry,Fusus
Arlington Heights,IL,Camera Registry,Fusus
Austell,GA,Camera Registry,Fusus
Lynn Haven,FL,Camera Registry,Fusus
Panama City,FL,Camera Registry,Fusus
Bend,OR,Camera Registry,Fusus
Bensalem,PA,Camera Registry,Fusus
